,XLF,XLF,XLI,XLI,XLRE,XLRE,AGG,AGG,SHY,SHY
,close,daily_return,close,daily_return,close,daily_return,close,daily_return,close,daily_return
timestamp,,,,,,,,,,
2018-08-01 04:00:00+00:00,27.95,0.0,75.88,-0.013392276687036797,33.27,0.006656580937973056,105.7,-0.0033943051103149102,83.06,-0.0015626878230555752
2018-08-02 04:00:00+00:00,27.96,0.0003577817531306149,75.78,-0.0013178703215602772,33.11,-0.004809137360985982,105.74,0.0003784295175022212,83.11,0.0006019744762821855
2018-08-03 04:00:00+00:00,28.12,0.005722460658083017,75.85,0.0009237265769330705,33.54,0.01298701298701288,105.97,0.002175146585965626,83.12,0.00012032246420412562
2018-08-06 04:00:00+00:00,28.26,0.004978662873399653,75.93,0.001054713249835304,33.47,-0.0020870602265951055,106.04,0.0006605643106540882,83.14,0.00024061597690083758
2018-08-07 04:00:00+00:00,28.4,0.004953998584571684,76.5,0.007506914263136988,33.4,-0.0020914251568568965,105.85,-0.0017917766880423125,83.11,-0.0003608371421698342
2018-08-08 04:00:00+00:00,28.47,0.0024647887323943074,76.15,-0.004575163398692683,33.2,-0.0059880239520956335,105.85,0.0,83.12,0.00012032246420412562
2018-08-09 04:00:00+00:00,28.3,-0.005971197752019597,75.74,-0.005384110308601531,33.25,0.001506024096385561,106.0,0.0014170996693434468,83.17,0.000601539942252094
2018-08-10 04:00:00+00:00,27.97,-0.011660777385159027,75.11,-0.008317929759704246,32.93,-0.00962406015037598,106.23,0.0021698113207546665,83.25,0.0009618852951784884
2018-08-13 04:00:00+00:00,27.7,-0.009653199856989647,74.73,-0.005059246438556708,32.92,-0.0003036744609777875,106.29,0.0005648121999435318,83.23,-0.00024024024024016377
2018-08-14 04:00:00+00:00,27.95,0.00902527075812265,75.23,0.006690753378830516,33.05,0.003948967193195596,106.19,-0.0009408222786716491,83.23,0.0
2018-08-15 04:00:00+00:00,27.74,-0.0075134168157424686,74.87,-0.004785325003323182,33.34,0.008774583963691462,106.34,0.0014125623881722227,83.27,0.00048059593896421227
2018-08-16 04:00:00+00:00,28.11,0.013338139870223475,75.82,0.012688660344597258,33.6,0.007798440311937549,106.4,0.0005642279480910783,83.25,-0.00024018253872937212
2018-08-17 04:00:00+00:00,28.17,0.002134471718249875,76.28,0.006067000791348143,33.92,0.00952380952380949,106.46,0.0005639097744358779,83.28,0.0003603603603603567
2018-08-20 04:00:00+00:00,28.25,0.0028399006034787178,76.79,0.006685894074462517,33.96,0.001179245283018826,106.67,0.0019725718579748364,83.33,0.0006003842459174624
2018-08-21 04:00:00+00:00,28.37,0.004247787610619502,77.35,0.007292616226070914,33.65,-0.009128386336866967,106.58,-0.000843723633636495,83.31,-0.00024000960038395025
